Gender,Marital Status,Occupation,Location,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Balance,NumOfProducts,NumComplaints,Age,Exited
Male,Divorced,Teacher,Nsanje,7,SME,Phone,740,2,5397681,85311.7,1,2,36,0
Male,Married,Driver,Kasungu,11,SME,Email,621,8,2369785,110112.54,1,0,41,0
Female,Married,Businessperson,Neno,16,Corporate,Email,811,4,9787730,0.0,4,5,42,0
Female,Married,Businessperson,Ntcheu,10,Retail,Phone,370,7,6470878,0.0,4,5,29,0
Female,Single,Civil Servant,Rumphi,12,Retail,Phone,774,12,2198301,134264.04,1,5,45,1
Male,Single,Student,Nkhotakota,14,Corporate,Phone,382,11,8653094,145260.23,4,1,31,0
Male,Divorced,Civil Servant,Nkhata Bay,19,SME,Phone,575,7,4356410,76548.6,2,3,33,0
Male,Divorced,Banker,Nkhata Bay,9,SME,Phone,672,13,5043224,0.0,1,3,36,0
Male,Single,Banker,Thyolo,4,SME,Email,659,5,6391546,70349.48,4,1,41,0
Male,Divorced,Engineer,Chiradzulu,2,SME,Phone,449,3,9378193,0.0,3,5,40,0
Female,Single,Engineer,Mulanje,14,Corporate,Email,435,20,2513729,122522.32,1,5,51,1
Female,Single,Farmer,Mulanje,15,SME,Phone,542,4,9081057,117419.35,2,3,61,0
Female,Single,Businessperson,Phalombe,20,Corporate,Email,643,17,888611,131394.56,4,2,49,1
Female,Married,Driver,Salima,11,SME,Email,566,11,3391133,155931.11,1,5,61,0
Female,Divorced,Driver,Mangochi,19,Corporate,Email,509,17,4554136,109421.13,4,0,32,0
Female,Married,Businessperson,Chitipa,15,SME,Email,362,9,9541606,112045.67,3,4,27,1
Female,Single,Engineer,Likoma,13,Retail,Phone,342,2,5805921,137843.8,4,0,39,1
Male,Single,Farmer,Salima,13,SME,Phone,703,12,9558074,103391.38,3,3,38,0
Female,Single,Driver,Salima,17,Corporate,Phone,502,4,4318874,103769.22,2,4,37,0
Male,Single,Businessperson,Lilongwe,12,Retail,Phone,474,14,7155945,116363.37,2,3,44,0
Male,Single,Student,Ntchisi,9,Corporate,Email,343,1,187101,146050.97,2,0,36,0
Female,Single,Driver,Mangochi,19,Retail,Email,325,3,2732928,0.0,1,3,33,0
Male,Divorced,Farmer,Dedza,17,Corporate,Email,723,11,7371438,125561.97,2,2,41,1
Male,Married,Teacher,Zomba,5,Retail,Phone,335,6,776882,98495.72,4,2,42,1
Male,Married,Student,Chiradzulu,14,Corporate,Email,695,4,5730129,125211.92,3,5,43,0
Male,Married,Engineer,Nkhotakota,2,Retail,Email,505,2,8490092,127864.4,4,3,45,0
Male,Married,Teacher,Mwanza,20,Retail,Phone,814,1,4489719,75888.2,2,1,19,0
Female,Married,Teacher,Lilongwe,7,SME,Phone,372,1,9638955,0.0,2,4,66,1
Male,Single,Driver,Ntchisi,6,Corporate,Email,773,4,6028766,40685.92,2,2,51,0
Male,Single,Civil Servant,Rumphi,7,Retail,Phone,439,13,8277485,136857.0,2,3,35,0
Female,Married,Nurse,Mulanje,10,Corporate,Email,423,10,3651272,152328.88,4,4,27,0
Male,Divorced,Nurse,Rumphi,17,SME,Phone,387,3,1548623,56084.69,1,2,33,0
Male,Single,Teacher,Chikwawa,16,SME,Email,380,14,7106504,78707.16,1,2,56,0
Male,Divorced,Businessperson,Mchinji,1,Retail,Phone,661,7,293445,109166.37,1,2,26,0
Female,Divorced,Engineer,Likoma,8,SME,Email,558,16,9146923,169831.46,1,1,36,0
Female,Single,Teacher,Mzimba,19,Corporate,Phone,668,3,1132673,101633.04,4,1,34,0
Male,Single,Driver,Chikwawa,7,Corporate,Phone,712,3,235860,123180.01,2,3,43,0
Female,Married,Farmer,Dedza,5,Corporate,Phone,372,19,9579180,150725.53,2,0,35,0
Female,Married,Driver,Neno,5,Retail,Email,545,10,1941472,98373.26,2,4,21,0
Male,Divorced,Farmer,Dowa,7,SME,Phone,832,15,1071059,133745.44,2,2,58,1
Male,Married,Student,Mzimba,15,Retail,Phone,547,20,5859990,0.0,2,0,29,0
Female,Divorced,Nurse,Likoma,14,Retail,Phone,352,2,9704668,163607.18,3,2,37,0
Female,Married,Nurse,Neno,7,Retail,Phone,771,5,4917640,157780.84,2,0,25,0
Male,Married,Student,Nkhata Bay,16,Retail,Email,375,17,4130381,0.0,2,4,36,0
Female,Single,Civil Servant,Zomba,13,Retail,Phone,778,5,7154396,178718.19,1,4,21,0
Male,Divorced,Student,Mulanje,7,Retail,Phone,648,20,3387278,0.0,2,5,55,0
Female,Married,Teacher,Likoma,17,Corporate,Phone,477,16,923431,0.0,2,1,32,0
Male,Married,Teacher,Mzimba,16,Corporate,Phone,531,5,3274861,77253.22,2,3,33,0
Female,Divorced,Banker,Ntchisi,13,Retail,Email,358,3,4686567,122189.66,2,5,41,0
Female,Divorced,Student,Machinga,17,Corporate,Phone,376,18,379210,96645.54,4,4,34,0
Female,Divorced,Nurse,Blantyre,7,Corporate,Email,679,11,3647039,0.0,4,5,32,1
Female,Single,Engineer,Dowa,10,Retail,Email,628,8,1353457,0.0,3,3,36,0
Female,Single,Engineer,Mwanza,2,Retail,Email,318,6,2867296,90307.62,3,3,34,0
Female,Single,Student,Mulanje,5,Corporate,Email,680,1,8540807,0.0,2,0,46,0
Female,Married,Engineer,Chiradzulu,2,SME,Phone,448,17,5230741,0.0,3,4,75,0
Male,Single,Driver,Mzimba,1,Retail,Phone,568,19,785744,121681.82,2,3,22,1
Male,Married,Teacher,Chiradzulu,15,Corporate,Phone,636,1,4393922,0.0,4,0,30,0
Female,Married,Farmer,Thyolo,13,SME,Email,364,3,4120807,0.0,1,4,46,1
Female,Divorced,Farmer,Mwanza,16,Retail,Email,314,14,8002725,81623.67,2,5,28,0
Female,Divorced,Civil Servant,Thyolo,14,SME,Phone,554,3,989673,0.0,1,2,44,1
Male,Divorced,Teacher,Zomba,12,SME,Email,349,5,2080896,118626.55,3,4,45,0
Female,Divorced,Farmer,Mchinji,19,SME,Email,719,6,9193808,0.0,1,5,36,0
Male,Married,Civil Servant,Rumphi,16,Corporate,Email,461,3,5908222,0.0,4,2,29,0
Male,Married,Driver,Chikwawa,6,Corporate,Phone,357,17,9405858,0.0,1,3,42,0
Male,Married,Engineer,Dedza,7,Corporate,Email,461,13,9723519,176273.95,2,1,35,0
Male,Divorced,Farmer,Blantyre,5,Corporate,Phone,305,6,2999964,102827.44,3,3,41,0
Male,Divorced,Student,Chiradzulu,5,Corporate,Email,487,12,2681698,97086.4,1,1,29,0
Male,Married,Engineer,Blantyre,20,Corporate,Phone,377,9,1286695,0.0,3,2,22,0
Male,Divorced,Farmer,Nkhotakota,6,Corporate,Phone,418,7,7909964,0.0,4,1,34,0
Female,Married,Student,Nsanje,1,Corporate,Phone,708,4,9237617,0.0,1,5,40,0
Female,Divorced,Banker,Dowa,1,SME,Email,496,18,4464069,0.0,2,3,44,0
Male,Divorced,Teacher,Rumphi,3,Corporate,Email,813,12,8212063,82674.15,2,2,31,0
Male,Single,Driver,Phalombe,5,SME,Phone,626,11,9306453,0.0,3,4,36,0
Female,Divorced,Banker,Phalombe,18,SME,Phone,437,18,8961305,0.0,3,2,65,1
Female,Divorced,Teacher,Phalombe,16,SME,Email,671,11,8076490,107073.27,1,0,46,1
Male,Single,Civil Servant,Mangochi,1,SME,Phone,712,8,2605639,88938.62,4,2,32,0
Female,Married,Banker,Chiradzulu,2,SME,Email,841,11,6224980,99806.85,4,5,36,0
Male,Married,Banker,Machinga,10,Corporate,Email,366,16,5605653,150092.8,2,1,33,0
Male,Divorced,Businessperson,Dedza,6,Corporate,Email,822,3,9546028,92833.89,4,3,35,1
Male,Single,Farmer,Chiradzulu,20,SME,Email,606,18,6093810,90536.81,2,3,30,0
Male,Married,Farmer,Phalombe,3,SME,Phone,761,7,5735275,108055.1,3,5,39,0
Male,Single,Nurse,Ntchisi,18,Corporate,Email,594,8,6322885,100238.35,1,4,42,0
Male,Single,Nurse,Chiradzulu,4,Retail,Email,357,17,363095,106190.55,2,3,36,0
Male,Married,Teacher,Ntcheu,7,Retail,Email,368,5,7506808,154475.54,2,4,28,1
Female,Single,Banker,Mwanza,7,SME,Email,571,9,3031586,132351.29,1,4,30,0
Female,Married,Nurse,Mangochi,1,Corporate,Phone,342,18,3930284,167864.4,2,2,37,0
Female,Divorced,Civil Servant,Mchinji,16,Retail,Phone,587,20,7156854,0.0,2,1,41,0
Female,Married,Nurse,Chiradzulu,10,SME,Email,792,4,7651930,107818.63,1,1,31,1
Male,Married,Engineer,Nkhata Bay,16,SME,Phone,634,13,3163253,185173.81,1,3,34,0
Male,Married,Teacher,Phalombe,2,SME,Phone,575,6,8087344,129433.34,1,1,34,0
Male,Single,Nurse,Chiradzulu,4,Retail,Phone,823,14,2959232,120193.42,4,1,39,0
Female,Married,Civil Servant,Mwanza,14,Retail,Email,800,20,1536353,0.0,3,5,39,0
Female,Single,Nurse,Thyolo,12,Retail,Phone,388,10,8561433,126384.42,3,1,48,0
Female,Single,Teacher,Balaka,5,SME,Email,740,9,7357326,0.0,4,1,28,0
Male,Married,Businessperson,Likoma,12,SME,Email,357,6,7294719,152603.45,1,5,42,1
Female,Married,Nurse,Likoma,12,Retail,Phone,464,9,8862337,0.0,3,2,52,1
Male,Married,Civil Servant,Chikwawa,2,SME,Email,461,16,8721681,148507.24,2,2,56,1
Female,Married,Engineer,Rumphi,19,Corporate,Phone,635,17,6172071,0.0,3,2,41,0
Male,Single,Civil Servant,Nkhata Bay,6,Corporate,Phone,509,8,6339245,101827.07,2,3,24,0
Female,Married,Engineer,Mwanza,7,Corporate,Phone,630,10,6130153,0.0,1,1,34,0
Female,Married,Businessperson,Neno,5,Corporate,Phone,654,7,5942252,130862.43,2,5,33,0
Male,Single,Banker,Nkhotakota,8,Retail,Email,804,4,4944368,122570.87,3,4,38,0
Male,Divorced,Engineer,Karonga,20,SME,Phone,455,13,2967745,0.0,2,2,25,0
Male,Married,Banker,Neno,16,Corporate,Phone,337,19,6685582,124828.46,2,1,39,0
Female,Divorced,Student,Blantyre,18,Corporate,Email,771,3,4660055,144895.05,4,3,50,0
Female,Married,Banker,Zomba,18,SME,Email,492,8,857134,63663.93,1,0,34,0
Male,Married,Banker,Kasungu,9,SME,Phone,690,9,7289435,133463.1,1,3,40,0
Female,Divorced,Engineer,Balaka,9,Corporate,Email,507,3,3639433,213146.2,2,3,48,1
Female,Single,Student,Nkhata Bay,3,Retail,Email,483,7,177596,129490.36,4,4,35,1
Male,Single,Student,Ntchisi,2,Corporate,Email,802,2,4232601,137452.09,1,5,44,0
Male,Divorced,Driver,Chikwawa,13,SME,Phone,386,18,368880,0.0,4,1,34,0
Female,Married,Engineer,Dedza,8,SME,Email,364,15,8006669,125851.93,2,5,43,0
Male,Married,Businessperson,Karonga,20,Corporate,Phone,761,19,5022507,0.0,1,1,52,1
Female,Married,Engineer,Chikwawa,3,Corporate,Email,495,18,2093962,40915.55,2,2,31,1
Female,Married,Nurse,Chikwawa,6,Corporate,Email,488,5,7898795,113157.22,2,1,21,0
Female,Married,Student,Chikwawa,16,SME,Email,387,14,4546222,138296.94,2,2,29,0
Male,Divorced,Banker,Ntcheu,19,SME,Phone,515,4,791014,106967.18,4,0,37,0
Male,Married,Driver,Blantyre,10,Corporate,Email,515,8,3881177,120681.63,3,0,44,0
Male,Divorced,Businessperson,Dedza,16,Corporate,Phone,763,1,8061231,0.0,2,5,32,0
Female,Divorced,Student,Rumphi,20,SME,Phone,718,10,6507773,0.0,4,4,32,0
Female,Divorced,Farmer,Machinga,4,Retail,Email,677,10,697432,0.0,2,1,48,1
Male,Divorced,Civil Servant,Lilongwe,6,Retail,Email,406,15,6575452,0.0,4,0,42,0
Male,Married,Businessperson,Chitipa,8,SME,Phone,430,12,2984825,127609.59,4,0,37,0
Female,Divorced,Engineer,Zomba,8,Corporate,Email,838,12,3969105,0.0,3,0,43,0
Male,Single,Teacher,Chitipa,2,Corporate,Email,433,7,6467384,0.0,2,2,57,1
Female,Divorced,Businessperson,Phalombe,5,SME,Email,374,14,3826610,0.0,4,5,33,0
Female,Married,Civil Servant,Mchinji,4,Retail,Email,413,14,5095576,0.0,3,0,28,0
Female,Single,Teacher,Rumphi,1,SME,Phone,689,2,1769637,97259.25,4,2,73,0
Female,Divorced,Banker,Chitipa,2,SME,Phone,581,2,3644461,123246.7,4,3,33,0
Female,Married,Civil Servant,Likoma,7,Corporate,Email,526,5,9762747,101060.25,3,2,22,0
Male,Single,Nurse,Mulanje,4,Retail,Phone,577,1,4243112,0.0,2,4,30,0
Female,Divorced,Driver,Mchinji,19,Retail,Email,442,12,237065,108007.36,3,4,49,0
Female,Divorced,Banker,Neno,6,Retail,Phone,591,11,9924336,0.0,2,0,36,0
Male,Divorced,Nurse,Neno,13,SME,Phone,681,15,4297816,133702.89,3,5,29,1
Male,Single,Student,Zomba,17,Retail,Email,366,4,1516075,125189.75,4,5,31,0
Female,Single,Nurse,Salima,9,Corporate,Email,558,7,8397881,113034.22,4,1,24,1
Female,Divorced,Farmer,Nkhata Bay,11,SME,Email,563,1,283869,109013.23,2,1,41,0
Female,Married,Civil Servant,Chikwawa,5,SME,Email,509,11,3272361,0.0,3,1,39,1
Male,Divorced,Driver,Mchinji,20,Retail,Email,641,3,7079849,57929.81,4,1,24,0
Female,Divorced,Driver,Machinga,10,SME,Email,722,1,5793788,130114.39,4,2,29,0
Male,Divorced,Nurse,Mwanza,17,SME,Phone,762,2,6841245,95826.49,3,3,27,0
Male,Single,Civil Servant,Thyolo,13,SME,Phone,692,13,2498295,129608.57,3,2,44,1
Male,Married,Nurse,Ntcheu,4,Retail,Phone,589,13,2549338,169462.09,2,4,30,0
Male,Single,Driver,Chikwawa,20,Corporate,Email,737,16,9742197,0.0,1,5,40,0
Female,Single,Businessperson,Ntchisi,15,Retail,Email,421,17,6634245,133868.21,3,0,35,0
Female,Divorced,Businessperson,Mulanje,11,Retail,Phone,704,10,6185671,0.0,1,4,30,0
Male,Married,Nurse,Dowa,4,SME,Phone,603,13,2853253,190479.48,3,5,36,0
Female,Divorced,Businessperson,Karonga,11,Retail,Phone,699,10,6696801,101993.12,4,1,40,0
Female,Married,Student,Machinga,18,Corporate,Phone,819,8,6914385,161608.81,1,0,55,1
Female,Single,Student,Chitipa,4,SME,Phone,437,13,6843527,122311.21,1,0,45,0
Male,Married,Farmer,Ntcheu,18,Corporate,Phone,768,19,3551836,0.0,4,4,65,0
Female,Married,Banker,Mzimba,7,Retail,Email,499,12,6423327,162150.42,1,1,45,0
Male,Married,Teacher,Lilongwe,7,Retail,Phone,535,2,5811090,0.0,2,5,42,0
Female,Single,Farmer,Chiradzulu,3,Retail,Email,414,19,9001617,0.0,3,2,50,1
Male,Married,Driver,Nkhata Bay,14,Corporate,Email,702,16,8382730,0.0,2,0,32,0
Female,Divorced,Driver,Rumphi,18,SME,Email,576,15,4844529,99010.67,2,2,39,0
Female,Married,Civil Servant,Chikwawa,1,Retail,Phone,394,3,4417686,0.0,2,3,37,0
Male,Single,Driver,Dowa,12,Retail,Email,527,14,2966679,0.0,3,3,30,0
Female,Divorced,Farmer,Chiradzulu,20,Corporate,Phone,403,14,2083518,111388.18,3,5,34,0
Female,Single,Banker,Chiradzulu,19,Corporate,Email,493,15,855497,56214.85,3,2,41,1
Female,Married,Businessperson,Ntcheu,4,Retail,Email,450,4,8566651,84327.77,2,3,36,0
Male,Divorced,Driver,Mangochi,2,SME,Phone,409,11,8040778,0.0,4,4,40,0
Male,Married,Student,Chitipa,19,Retail,Email,541,5,7073596,93012.89,3,4,32,0
Male,Divorced,Civil Servant,Mulanje,7,Corporate,Email,438,6,1702439,61710.44,1,4,29,0
Male,Divorced,Teacher,Neno,8,Retail,Email,451,8,4757444,174790.15,3,2,35,0
Female,Single,Teacher,Ntchisi,14,SME,Phone,551,14,3615990,0.0,1,0,32,0
Male,Divorced,Civil Servant,Likoma,3,SME,Phone,794,5,8350689,107720.64,4,4,37,0
Male,Divorced,Businessperson,Lilongwe,8,SME,Email,777,18,242110,0.0,4,4,57,0
Male,Single,Student,Mchinji,18,Corporate,Phone,541,2,4075538,96423.84,2,2,35,0
Male,Single,Student,Thyolo,5,Corporate,Email,765,2,6701650,141040.01,4,3,30,0
Male,Divorced,Nurse,Mangochi,20,SME,Phone,837,7,5099013,105420.18,1,1,42,0
Male,Married,Student,Mwanza,16,Corporate,Email,404,10,5739444,0.0,1,5,50,1
Female,Single,Driver,Chiradzulu,3,Corporate,Phone,569,15,5248082,129022.06,1,3,38,1
Male,Married,Civil Servant,Rumphi,13,Corporate,Phone,841,8,1560796,176666.62,4,0,33,0
Male,Married,Engineer,Ntcheu,7,Retail,Email,485,2,9056517,0.0,3,4,37,0
Female,Divorced,Driver,Dowa,20,Retail,Email,826,4,1750090,89763.84,3,4,41,1
Male,Divorced,Businessperson,Blantyre,5,SME,Email,700,4,5563204,134954.53,2,0,34,0
Male,Single,Farmer,Blantyre,17,Retail,Phone,705,13,7166324,0.0,1,5,45,1
Male,Divorced,Driver,Kasungu,19,Retail,Email,730,18,8714581,106376.85,4,2,45,0
Male,Married,Student,Mangochi,3,Corporate,Email,468,9,5572428,161814.64,4,3,33,0
Male,Married,Businessperson,Nsanje,11,Corporate,Email,719,20,8309970,0.0,1,4,31,0
Female,Married,Teacher,Mangochi,18,Retail,Phone,678,11,5971900,0.0,3,2,41,0
Female,Single,Farmer,Nsanje,12,Corporate,Phone,378,13,7749212,63095.01,2,5,34,0
Male,Single,Driver,Salima,9,Retail,Phone,812,17,4852949,118287.01,2,4,26,0
Male,Divorced,Civil Servant,Ntchisi,17,Retail,Phone,650,11,3749908,106854.21,1,1,47,1
Male,Divorced,Businessperson,Nkhata Bay,7,Corporate,Email,696,16,2943181,49512.55,2,4,46,0
Female,Single,Farmer,Machinga,1,Retail,Phone,519,1,9595119,0.0,2,0,33,0
Male,Single,Banker,Nkhotakota,15,Retail,Email,711,11,8780886,105799.32,3,5,43,1
Male,Married,Nurse,Mangochi,14,SME,Phone,789,8,5616604,0.0,1,1,54,1
Female,Married,Businessperson,Zomba,12,Retail,Email,618,8,4606209,114722.05,1,2,31,0
Male,Divorced,Engineer,Zomba,14,Corporate,Phone,349,18,9892357,0.0,4,2,30,0
Male,Single,Student,Chiradzulu,15,Retail,Phone,532,20,5761093,0.0,1,1,42,0
Male,Married,Nurse,Balaka,7,Corporate,Phone,615,9,7911300,0.0,4,1,33,1
Male,Single,Banker,Mzimba,6,Corporate,Email,451,2,5303712,99564.22,4,3,45,1
Male,Single,Student,Lilongwe,18,SME,Email,829,15,5193133,170557.91,2,3,37,0
Female,Single,Teacher,Kasungu,10,Retail,Phone,743,7,5205959,0.0,1,5,30,0
Female,Single,Engineer,Chikwawa,20,SME,Email,548,18,394930,74596.15,4,2,39,1
Male,Married,Teacher,Kasungu,8,Corporate,Phone,620,13,3459636,96888.39,1,0,50,1
Female,Single,Teacher,Chikwawa,5,Corporate,Phone,444,2,6835116,130830.22,2,1,29,0
Male,Divorced,Farmer,Zomba,11,Corporate,Email,850,14,7713092,0.0,4,4,72,0
Male,Divorced,Businessperson,Ntcheu,5,Corporate,Phone,443,19,6747855,0.0,2,2,40,0
Female,Divorced,Businessperson,Dedza,7,SME,Phone,642,20,1413719,0.0,3,2,37,0
Male,Single,Nurse,Chikwawa,3,Retail,Phone,379,1,1400722,119714.25,1,0,20,0
Female,Single,Nurse,Mzimba,10,Retail,Phone,333,7,7622791,113978.97,2,0,67,0
Male,Divorced,Farmer,Thyolo,1,Retail,Email,635,17,3802530,100160.75,3,5,42,1
Female,Married,Banker,Mulanje,12,SME,Email,548,17,3171687,0.0,3,4,29,0
Female,Married,Businessperson,Balaka,17,Retail,Phone,674,8,7320803,116220.5,3,1,43,1
Female,Single,Civil Servant,Salima,7,Retail,Email,433,5,6440441,0.0,3,5,46,1
Male,Divorced,Engineer,Salima,13,SME,Email,628,20,1163638,81173.83,2,3,28,0
Male,Single,Civil Servant,Likoma,7,Retail,Email,781,20,1725275,0.0,4,1,38,0
Female,Single,Engineer,Thyolo,15,Retail,Phone,704,13,6967746,116803.8,2,5,39,0
Male,Single,Nurse,Dowa,7,SME,Email,776,7,5380058,105961.68,1,0,37,0
Male,Single,Banker,Chikwawa,12,Retail,Phone,796,8,9582544,117411.6,3,2,67,1
Male,Married,Farmer,Ntchisi,4,Retail,Phone,427,20,8738772,0.0,4,2,34,0
Female,Married,Farmer,Nkhotakota,17,Retail,Email,749,10,3012832,123497.58,1,4,40,1
Male,Single,Businessperson,Phalombe,6,Corporate,Email,596,20,5360669,152400.51,2,4,26,0
Female,Single,Businessperson,Mchinji,13,Retail,Email,310,17,8445559,0.0,3,1,26,0
Male,Divorced,Teacher,Balaka,16,Corporate,Email,700,17,3076897,103097.85,1,2,24,0
Male,Divorced,Driver,Neno,5,Corporate,Phone,301,13,7252412,126418.14,3,1,54,1
Female,Single,Businessperson,Thyolo,3,Corporate,Email,804,3,3088213,77846.9,4,4,36,0
Female,Divorced,Farmer,Rumphi,4,Corporate,Phone,627,6,6407752,0.0,1,3,34,0
Female,Married,Farmer,Ntcheu,17,Corporate,Phone,730,19,7061836,0.0,3,2,79,0
Male,Divorced,Student,Lilongwe,12,Corporate,Email,621,1,7370319,79731.91,2,0,37,0
Male,Divorced,Banker,Rumphi,2,SME,Email,669,19,4064309,0.0,4,2,28,0
Male,Single,Teacher,Nkhata Bay,5,Corporate,Email,683,19,1477928,0.0,2,3,41,0
Male,Married,Banker,Chikwawa,15,SME,Phone,578,7,3240290,0.0,2,4,34,0
Female,Divorced,Nurse,Mchinji,20,SME,Phone,519,6,5143897,37266.67,1,5,34,0
Female,Single,Teacher,Nkhata Bay,10,SME,Phone,471,1,7057235,127992.25,4,1,30,0
Male,Divorced,Teacher,Nkhata Bay,15,SME,Email,601,3,9933159,54901.01,1,3,38,0
Male,Divorced,Teacher,Dedza,18,SME,Email,759,15,3377098,108748.08,1,0,42,0
Female,Single,Teacher,Chiradzulu,9,SME,Email,301,8,8906582,99906.19,1,3,48,0
Female,Single,Farmer,Machinga,19,Retail,Email,514,11,8352456,184686.41,2,1,32,0
Female,Single,Teacher,Karonga,14,Corporate,Email,559,12,6066769,110654.02,1,3,26,0
Male,Married,Businessperson,Ntchisi,7,SME,Phone,523,15,8360298,79019.8,2,2,31,0
Female,Single,Nurse,Lilongwe,19,Retail,Email,533,3,9434396,99240.51,3,1,36,0
Male,Single,Student,Mwanza,2,Corporate,Phone,441,9,9209490,0.0,2,2,34,0
Male,Divorced,Businessperson,Salima,20,SME,Email,355,13,4943621,0.0,2,4,36,0
Female,Single,Nurse,Mchinji,18,Corporate,Phone,613,5,8495363,0.0,2,2,39,1
Female,Married,Banker,Thyolo,2,Corporate,Email,638,5,1986434,52436.2,4,0,35,0
Male,Single,Student,Phalombe,9,Corporate,Phone,810,7,5038743,0.0,4,3,41,0
Male,Divorced,Teacher,Karonga,12,SME,Email,745,7,4547515,100337.96,1,3,34,1
Female,Divorced,Engineer,Kasungu,12,SME,Email,817,18,7030396,149297.19,2,1,34,0
Male,Divorced,Farmer,Mulanje,20,SME,Email,319,11,5660938,0.0,3,3,30,0
Male,Divorced,Banker,Kasungu,3,Retail,Phone,631,9,8332345,145605.44,3,2,28,0
Female,Single,Student,Dedza,5,SME,Phone,572,10,1373745,0.0,1,4,37,0
Male,Single,Civil Servant,Mangochi,20,Corporate,Email,706,1,2978476,0.0,1,1,62,1
Female,Married,Civil Servant,Nkhotakota,13,Corporate,Phone,579,2,5400706,0.0,3,3,53,0
Male,Married,Teacher,Rumphi,12,SME,Email,826,7,4746249,84026.86,3,2,35,0
Male,Divorced,Farmer,Nkhotakota,5,SME,Email,369,6,6558861,0.0,3,2,46,1
Male,Married,Banker,Dowa,12,Retail,Email,583,14,1966222,0.0,4,4,39,0
Male,Single,Driver,Karonga,1,Corporate,Email,682,14,7671045,0.0,1,5,29,0
Male,Married,Engineer,Chiradzulu,12,Corporate,Phone,782,13,5830984,138718.92,4,1,35,1
Male,Married,Nurse,Rumphi,7,Retail,Phone,644,18,7398390,118274.71,4,3,42,0
Female,Married,Nurse,Mchinji,1,Retail,Email,510,9,8940066,174185.98,1,5,22,0
Male,Married,Teacher,Mzimba,12,SME,Email,783,10,8164995,113208.86,1,0,40,0
Male,Single,Driver,Blantyre,6,Retail,Phone,765,20,9629684,103907.28,4,3,29,0
Female,Married,Banker,Mulanje,18,SME,Email,589,17,4540998,119023.28,2,2,32,0
Female,Single,Civil Servant,Chikwawa,20,Retail,Email,619,10,5100707,166297.89,4,2,26,0
